,entities,root,status keywords,health statuses,conjecture,sentence
0,pump,,notice,A leak,False,A leak was noticed from the RCP pump 1A.
1,pump,,find,not operating,False,RCP pump 1A pressure gauge was found not operating.
2,pump,,find,inoperative,False,RCP pump 1A pressure gauge was found inoperative.
3,pump,,have,signs of past leakage,False,RCP pump 1A had signs of past leakage.
4,Pump,,experience,not enough flow during test,False,The Pump is not experiencing enough flow during test.
5,pump shaft,,,deflection,False,Slight Vibrations is noticed - likely from pump shaft deflection.
6,Pump,,,not responding,False,Pump flow meter was not responding.
7,pump bearings,,,Rupture,False,Rupture of pump bearings caused pump shaft degradation.
8,pump shaft,,,degradation,False,Rupture of pump bearings caused pump shaft degradation.
9,pump bearings,,,Rupture,False,Rupture of pump bearings caused pump shaft degradation and consequent flow reduction.
10,pump shaft,,,degradation,False,Rupture of pump bearings caused pump shaft degradation and consequent flow reduction.
11,Power supply,,find,burnout,False,Power supply has been found burnout.
12,Pump,,,test,False,Pump test failed due to power supply failure.
13,power supply,,,failure,False,Pump test failed due to power supply failure.
14,Pump,,,inspection,False,Pump inspection revealed excessive impeller degradation.
15,impeller,,,excessive degradation,False,Pump inspection revealed excessive impeller degradation.
16,Pump,,,inspection,True,Pump inspection revealed excessive impeller degradation likely due to cavitation.
17,impeller,,,excessive degradation,True,Pump inspection revealed excessive impeller degradation likely due to cavitation.
18,pump,,find,Oil puddle,False,Oil puddle was found in proximity of RCP pump 1A.
19,pump,,observe,Anomalous vibrations,False,Anomalous vibrations were observed for RCP pump 1A.
20,pump shaft,,,Several cracks,False,Several cracks on pump shaft were observed; they could have caused pump failure within few days.
21,pump,,,failure,True,Several cracks on pump shaft were observed; they could have caused pump failure within few days.
22,pump,,,cavitating,False,RCP pump 1A was cavitating and vibrating to some degree during test.
23,pump shaft,,,vibration,False,The pump shaft vibration appears to be causing the motor to vibrate as well.
24,motor,,vibrate,vibrate,False,The pump shaft vibration appears to be causing the motor to vibrate as well.
25,Pump,,have,noise of cavitation which became faint after OPS bled off the air,False,Pump had noise of cavitation which became faint after OPS bled off the air.
26,pump shaft,,,deflection,False,The pump shaft deflection is causing the safety cage to rattle.
27,Pump,,experience,not enough flow for the pumps,False,The Pump is not experiencing enough flow for the pumps to keep the check valves open during test.
28,pumps,,,enough flow,False,The Pump is not experiencing enough flow for the pumps to keep the check valves open during test.
29,Pump shaft,,make,noise,False,Pump shaft made noise.
30,pump shaft,come,,Vibration,True,Vibration seems like it is coming from the pump shaft.
31,pump shaft,,,Visible deflection,False,Visible pump shaft deflection in operation.
32,Pump bearings,,appear,acceptable condition,False,Pump bearings appear in acceptable condition.
33,Pump,,make,noises,False,Pump made noises - not enough to affect performance.
34,Pump shaft,,have,a slight deflection,False,Pump shaft has a slight deflection.
